umap_x,umap_y,umap_z
0.7267927,2.5525095,6.9398985
11.780879,7.1008587,5.5804315
2.9974523,7.668909,8.753506
11.745134,6.8199425,3.908579
11.414453,0.64883083,7.7993445
2.5957718,3.6591823,9.0775175
11.457179,0.98864675,4.2841644
2.0310628,4.0789394,8.853588
12.043337,1.4230417,7.514557
-1.7788014,6.8806553,4.509698
10.158545,-0.2942254,4.6261406
10.446746,0.55008477,3.8626652
10.8622055,1.0751047,3.6451817
10.576954,0.15917666,4.3392844
10.8970785,0.7814286,3.901299
10.936779,0.4305773,4.3185363
10.455325,0.027578644,4.413006
10.969824,0.7853183,3.9698472
11.006091,1.6329727,3.4129605
10.849879,1.0003618,3.6845067
10.890246,0.9829439,3.7223976
10.943476,0.5965255,4.1317124
10.599695,1.5793923,3.2131295
10.839286,1.415042,3.4045856
2.3298762,8.771772,8.337421
11.697111,7.3353143,4.42697
10.005863,0.17238162,3.9758031
10.3748665,0.4315974,3.9276786
-0.060343776,1.6622237,4.233689
-1.1636196,8.904946,5.945354
-1.228231,5.6111426,0.093951635
-1.3197397,8.435852,5.9465265
2.0794916,2.5653832,8.381493
3.7329972,7.4800425,8.769387
11.002792,2.1106496,3.2032125
-1.9221417,5.6548715,2.2864716
1.5401872,7.48217,8.366306
11.47217,0.855896,4.4431067
8.726382,8.383613,7.346899
11.260429,8.178098,5.6360965
-1.8643984,5.556931,2.1846616
1.3433253,2.884783,7.891367
2.9690173,5.0301733,9.2666445
2.8248951,4.167931,9.263455
2.431769,4.363528,9.096086
2.8683622,5.4396725,9.222638
1.1146172,0.9713624,5.7267027
13.43418,4.4847116,4.5436826
10.24556,0.27312803,4.0012236
12.28647,4.2886486,3.5650237
12.044996,6.6868334,4.728682
-0.42195448,4.418322,6.76642
11.689357,1.0786067,4.711918
0.5948964,4.07418,7.6888113
10.784594,-0.1391601,6.174895
1.2272568,7.1070495,8.2543745
10.51243,10.057223,5.288733
11.075378,2.2249465,3.2142262
11.247294,0.3829469,7.28005
11.383479,0.5346195,7.47902
-0.7916392,5.841943,6.636583
-1.1895384,4.1162553,5.0230145
0.12656718,1.4482621,4.4044175
-0.43789667,5.055207,7.0041733
11.378527,8.168761,5.268118
1.9859313,7.54062,8.52206
1.0420365,2.6203706,7.3787045
0.97654873,5.942688,8.199926
3.0930812,8.128053,8.5938635
-1.5011513,7.7799363,1.640782
9.151533,-1.3353893,5.8722653
2.3584616,5.409656,9.083425
11.12301,0.47545728,8.018408
-0.9655791,7.0254946,6.5443153
8.763723,8.396655,7.336778
11.630013,7.5453815,4.506045
-1.6778492,7.840015,2.3239398
10.807257,7.519442,6.578007
0.03823566,2.150402,5.667707
-0.07702254,2.0921817,5.460564
10.779163,1.7755449,3.1684506
-1.6125861,5.009793,4.226386
-2.0029056,6.100929,2.5607107
-1.6656508,6.2550726,4.688342
-1.5334017,8.359898,5.2186265
-1.7781228,5.3759003,3.6512
1.0218252,2.7449312,7.43483
13.266733,3.6809382,4.6621704
0.8550132,6.210951,8.083796
13.004097,3.5165985,4.379013
9.614957,-0.9592429,5.161966
2.6412153,8.759422,8.344435
10.857843,0.33954436,4.3516107
11.61043,4.552986,3.1470754
-1.6459227,7.9343805,2.3146367
-0.018391198,2.0269623,5.499139
-1.6557851,5.864429,4.562896
1.0358527,6.0062304,8.250123
2.0622377,3.5415466,8.842619
7.236007,8.172217,7.8824315
3.0464091,7.8180246,8.703888
-1.6086026,7.200374,1.3247259
-1.9029316,6.248255,1.7469857
-0.8443877,9.750259,5.7072563
2.456463,8.774889,8.3348255
2.3778687,5.4192853,9.0918
2.8670805,8.665696,8.40124
9.241858,-1.3564029,6.0377383
9.325116,-1.2390995,5.69327
-1.2471335,4.1581283,4.943876
-1.316573,7.876915,6.04919
-1.2578844,8.008986,6.1507907
2.1076736,6.235451,8.948667
11.026724,8.589852,5.424056
10.889348,0.067485444,7.2524123
10.80604,-0.021817593,5.3292665
-1.9373387,6.7487445,3.2151618
1.0513241,1.2872058,6.106869
1.339191,2.9944031,7.94096
-1.6498669,8.084414,2.5809798
11.809311,6.341646,3.6785789
2.612386,4.098935,9.175823
0.92055255,2.6073294,7.2167687
10.9682865,0.35427555,7.9561014
-1.8970728,6.245301,1.721617
-1.8745432,6.136129,1.6568235
1.6834059,8.5168915,8.220905
10.976021,0.39301446,8.061203
-1.4798654,7.223086,0.93955344
-1.3126032,7.234717,0.6931054
0.27663863,1.2886795,4.381273
0.23889899,1.3280643,4.459068
-0.003435657,1.5842001,4.3011255
-0.14261101,1.7538769,4.297819
0.69429827,1.1338986,5.1507134
-0.6223066,6.0245614,6.847275
-0.9440958,7.119977,6.588176
-1.6119508,6.0507154,0.62691784
10.972338,0.38140017,8.057723
9.408121,9.441573,6.66075
11.157041,2.1126437,3.338998
9.558795,9.442117,6.541452
0.6876497,3.8792834,7.698701
2.357088,2.5095494,8.490413
1.3879857,2.8811035,7.917029
-1.3022923,8.427777,5.980522
10.924907,0.034952316,6.792326
-1.3624927,4.4852457,4.768862
-1.3042521,7.190982,0.6461547
11.624352,0.99309635,8.132086
-1.5933032,8.748312,3.640735
1.938783,4.0609527,8.783407
11.141242,1.3407958,3.7028744
-1.1305561,9.516039,5.266648
-1.3665833,8.330834,5.8802195
11.424119,0.5447423,7.1147723
-0.9369903,6.968613,6.57171
6.0247064,7.7245173,8.358097
9.693165,10.985358,6.0386868
0.8895389,1.1286886,5.5909505
11.718577,7.1103444,5.721108
12.053385,6.5796475,5.5143185
10.34705,8.068493,6.6704793
11.299188,8.355739,4.438154
-0.9979583,6.871844,6.461653
-0.1648078,1.7756293,4.313591
9.297297,9.68781,6.640978
-0.07442659,4.9991007,7.3412037
5.8375516,7.430254,8.580851
13.396748,4.4017434,4.5745296
13.217229,4.731635,4.40927
5.999633,7.478194,8.54063
1.2770612,1.2269435,6.2923436
-1.2290398,5.4883614,0.12936658
11.969549,6.3795238,4.043592
12.688203,4.773768,3.9167252
1.4117956,8.37797,8.142611
1.2900022,1.2944973,6.384681
-1.594388,5.0169625,4.3314095
-1.3499014,8.311393,5.934712
2.4417775,5.32514,9.120186
5.889956,7.335915,8.659953
1.2710863,1.2201174,6.2779346
1.1562878,1.191526,6.114562
-0.7904526,9.663787,5.9338784
-0.83118194,9.493895,6.035496
9.505954,-1.1913987,6.124962
9.352776,-1.1911274,5.5129495
9.342622,-1.1943818,5.5111027
1.1728103,0.97225714,5.8339725
9.480906,0.024611646,3.7472322
9.364817,-1.2116164,5.642811
1.2438295,1.0849184,6.0594463
11.09313,0.19692668,6.8410406
0.8197725,1.5194519,6.0933757
1.0696943,1.0756594,5.8539915
9.4887,0.026285475,3.7510455
9.426966,-0.0011405154,3.7210274
9.459369,-1.138956,5.5485644
9.530274,-0.9513758,5.1446233
12.23464,6.2447214,4.622573
10.937651,8.849903,5.211696
-1.5830685,6.1516476,0.5950689
9.482079,0.028806886,3.744197
11.537175,0.9050404,8.157887
-1.5833994,8.794837,3.7192883
9.726803,-0.847208,5.053113
9.662813,-0.9301834,5.168432
9.7692375,-0.83509105,5.1187453
-0.5115686,6.091223,6.96189
-0.9760925,7.6888275,6.585499
0.92214715,1.2822713,5.9441333
1.2868438,1.2250949,6.301505
9.398639,8.573305,7.02092
10.676518,1.6960648,3.1769826
12.865093,4.9814897,4.2165813
11.956398,4.4020777,3.3284087
9.271279,-1.2258558,5.5598135
9.198549,-1.2717215,5.6692934
-1.7232047,5.198325,3.9124782
-1.8113877,7.127218,4.336162
-1.589537,8.7944,3.7362292
2.3854108,8.861138,8.278095
1.3231616,8.542904,8.090998
2.301966,2.5024178,8.466614
2.6085138,3.2630618,8.952667
1.4814718,2.7257009,7.931337
10.503377,-0.13988954,4.787599
-1.609379,8.676058,3.5778677
-0.9402497,9.68404,5.6385136
10.985806,0.09787327,5.45894
11.463525,0.59025705,6.419009
0.8234536,5.9271646,8.076738
2.7464347,7.7820096,8.665589
1.6629559,2.9568348,8.236877
-0.09364168,1.6874142,4.3002024
-0.20574932,5.0116386,7.2333965
0.96879506,5.992515,8.197217
-0.9979345,7.0546384,6.505649
3.553241,8.168783,8.596861
-0.0039602835,1.5965073,4.3569555
11.676839,0.8447691,7.1896873
-1.5533912,8.857978,4.0281262
-1.6018583,8.257048,5.0647097
-1.6070521,7.5260253,1.6442266
-1.9695871,6.519462,2.9906652
-0.10318707,4.8629875,7.2895784
-0.79590386,6.0179615,6.6392236
2.6402,3.279461,8.9705715
-1.9657843,6.022947,2.610159
2.6592991,3.339208,9.001345
-1.9298992,6.7787843,3.287045
0.5819447,4.134982,7.7173443
-1.7058249,5.187663,3.9702404
-1.2691898,7.7868867,6.1361012
1.6799544,3.8152835,8.535437
-1.6033516,5.267643,1.255623
1.5559167,7.4695697,8.392643
1.9222089,6.061553,8.862689
0.9363919,6.262806,8.145528
11.670868,4.1548347,3.1859086
-1.25462,7.099814,0.52271676
11.622848,5.0300746,3.2280035
1.4380919,7.295619,8.361305
10.805299,1.7013707,3.2451801
3.1650677,8.513275,8.466066
9.82247,9.142267,6.447815
-1.1221688,7.6761136,6.372691
3.0049975,4.3264604,9.315532
2.1944728,8.895134,8.205751
2.0807223,2.5533197,8.36206
11.949591,6.0458465,3.726456
10.080752,9.147016,6.2010427
1.8563502,8.598073,8.255196
2.2665515,2.412444,8.358599
1.5047017,8.694121,8.0961275
11.422819,0.88758016,8.300398
12.749452,4.61811,3.9345686
12.685397,4.874268,3.9631166
3.3171911,6.478782,9.011836
13.40406,4.344767,4.580274
-1.3223644,8.662328,5.763567
-1.839326,5.549916,2.0618508
3.40939,8.266911,8.562761
1.6146111,7.5171022,8.394206
1.1383804,6.9969306,8.212379
-0.018168716,1.6088014,4.3576207
11.312554,0.4669624,5.0598454
0.120678134,1.4695692,4.4471393
3.772821,7.646734,8.713342
3.0995414,8.50311,8.471706
0.41378328,1.2374542,4.7426662
12.119426,6.5236177,4.7729707
-1.5858161,4.961088,4.331361
11.097729,1.2281178,3.7271383
1.7448447,4.1497664,8.644335
-1.9540946,6.1974773,2.016946
9.21881,8.890783,6.9997506
-1.0293347,6.664005,6.3541455
2.3435633,5.2795444,9.068759
-1.8766352,6.015511,1.6568747
2.1063125,4.216418,8.909269
11.816762,1.0258385,7.604886
12.827498,4.6833944,4.020101
1.4635358,8.6940565,8.091292
-1.5402043,8.947381,3.9292223
-1.325872,6.9972734,0.5302531
1.9446412,2.5859547,8.272083
9.530922,0.09915184,3.696082
-0.25664017,5.0619335,7.19336
12.182148,6.4386425,4.9034276
-1.4976432,8.397868,5.402911
-0.68780696,9.678331,6.073458
-1.4316431,4.9316106,1.0033022
-1.4241494,8.387471,5.720485
-0.9238369,7.589731,6.652568
-1.286378,7.226851,0.6558519
-1.5755616,7.0780635,0.9464517
10.8455,0.24839827,7.9064646
2.6723645,3.188677,8.921448
11.918936,1.2011385,7.4081244
0.095317446,5.279682,7.50777
2.1540346,5.6388516,8.9784975
11.552931,7.7845044,5.3453455
3.1488006,8.522377,8.459509
1.2079413,0.9335567,5.794811
9.243835,-1.2672676,5.609437
5.9686337,7.2993727,8.672476
-0.69628364,5.980768,6.7616024
3.236207,6.6757755,8.970429
2.6029372,5.6790495,9.139587
10.985062,7.3749447,6.479807
1.7483684,3.5326133,8.553516
1.445577,8.542386,8.133529
1.423418,8.626265,8.095474
8.968115,9.337399,6.926161
-0.05124748,1.6296493,4.276299
2.145356,6.251851,8.966065
2.120822,6.209465,8.964554
-0.6329757,4.9085464,6.7438445
0.11987209,4.515709,7.399091
-0.92083085,9.493285,5.9250045
2.87585,5.4685574,9.218805
-0.6603912,4.454086,6.388847
11.154533,8.666442,4.7243137
-0.7859579,5.9666758,6.6550274
-0.8164732,7.530501,6.763747
13.302635,3.7166731,4.662321
1.7118957,3.4707212,8.505051
3.716272,7.4785547,8.773349
-1.6114837,6.1203523,0.6188806
-0.14761397,1.8495232,4.630868
2.8787465,8.657102,8.406721
13.430445,4.158223,5.2916894
10.9338665,0.32867837,4.4958253
-1.408257,6.6040816,0.37101775
-1.4110953,6.5506907,0.36309135
-1.2568026,6.9925294,0.44713828
-1.8566258,7.097346,3.8885112
-1.0206444,6.7137284,6.3852615
-1.2573992,6.400409,0.1848273
9.755403,9.228594,6.4715524
-0.62902546,4.763123,6.660025
9.550163,-1.0289526,5.2348113
10.880525,0.00018653001,6.861456
-1.6738194,5.4428167,1.344944
11.48334,0.8570085,4.467771
-1.5280828,8.917313,3.998652
-0.0066411663,5.097057,7.410204
0.13371776,4.4064164,7.3754406
2.193581,8.692981,8.31309
1.8068984,2.7328384,8.230506
-1.799313,7.152037,4.444727
-1.5866612,7.8858027,1.9558283
-1.3760045,8.4292,5.8192315
-1.2374299,4.1788816,4.9771585
2.2892106,8.843816,8.272116
-1.6261247,4.927685,3.936096
-1.7351426,5.2441735,3.846195
-1.4962453,7.2769613,1.0625023
1.7475576,3.4967558,8.546074
-1.8270737,5.546201,3.3910573
13.279529,3.6614528,4.7221045
0.92985314,6.07875,8.159955
1.3644798,7.318592,8.305423
12.948239,4.6679664,4.1287885
11.638746,4.260557,3.1663783
10.796429,1.0301846,3.6452298
-0.8114461,9.642805,5.9319606
-0.75553,9.6255,6.0430694
2.294893,8.925717,8.203519
9.904438,10.890742,5.830475
9.724424,11.161419,5.9997997
10.82244,-0.057181146,5.5580573
2.5302367,3.1507456,8.883463
13.423851,4.165269,5.251865
2.8295467,4.1601977,9.26728
13.263114,4.8679595,4.68828
3.11863,4.175697,9.275683
3.4998133,8.232708,8.581833
2.658997,5.256204,9.195838
2.4451823,7.0733824,8.800815
2.1747906,2.854953,8.576981
11.303349,0.44198906,5.143966
2.0936568,8.696569,8.290522
1.4705522,8.564056,8.135199
-0.59481347,9.805866,6.0177503
1.3948336,8.61157,8.072873
-1.2834234,8.041117,6.1003304
-1.8641645,5.4594274,2.370267
5.844829,7.3172035,8.679159
9.243568,9.348504,6.8048325
1.5609139,7.423019,8.400322
-1.6330934,7.850681,2.1083808
-1.6135058,7.650206,1.7908425
-1.5978783,7.8576293,1.9498922
11.333527,0.7294358,8.210881
2.1940289,2.4895103,8.4123125
10.878185,-0.005747296,5.5164943
11.370098,0.48156098,6.165923
10.800681,-0.061163053,5.4766016
10.795062,7.511469,6.597558
-1.5737498,4.906062,1.8324252
12.224914,6.344749,4.777646
-1.4425704,5.181686,0.57502174
-1.5878862,6.135537,0.58677363
13.402339,4.306569,5.0379467
11.153656,8.514134,5.2620926
-1.5821513,5.7621007,0.59150046
9.770935,11.302604,5.9430056
9.363829,8.531562,7.0585113
10.3134365,8.453272,6.39372
3.081072,7.6295495,8.776488
11.62929,0.7929438,6.960994
11.4631405,3.798901,3.1211255
-1.7838643,5.438208,3.6988847
9.891187,10.889108,5.846538
10.063699,10.80396,5.674058
11.368762,0.49394026,5.640973
-1.6577824,7.2744937,1.5806472
12.567949,4.5910277,3.7707293
-1.8791667,6.2760577,1.6627603
11.333722,3.4040916,3.1108897
-1.5875052,6.038045,0.5668568
11.594773,7.531123,4.3325367
11.685038,7.0430446,3.982863
11.832442,6.5747323,3.8759117
11.758073,7.0593505,4.239456
9.161135,8.555948,7.1469464
1.9686757,6.122786,8.875704
11.674975,4.5013514,3.1860273
9.9628315,9.173935,6.3096676
9.811479,10.9387455,5.9184504
-0.014614489,4.77907,7.350361
11.238603,0.62300515,8.202781
-0.029178599,2.0738435,5.5196443
1.2014607,0.9551284,5.826411
10.981537,0.5073446,8.239385
-1.6414709,8.25541,2.868486
-1.6941775,7.6051106,2.1130507
-1.6675932,7.5981717,1.9846524
11.793257,0.98137695,7.4897223
10.751589,0.23531267,4.3962755
2.4766917,5.320819,9.130544
9.560868,-1.0296941,5.2903223
-0.3920031,4.350793,6.767015
11.990375,6.658587,5.593974
9.316771,-1.359213,6.2498875
-1.4914885,5.710751,0.41465008
11.938378,1.3079901,7.910744
-1.2203302,5.634958,0.08144634
12.640104,4.642589,3.8420198
9.467717,-1.0765903,5.284428
9.471677,-1.2070234,6.0327325
2.5032654,8.673391,8.375088
-0.99820393,9.518155,5.739152
-0.9045081,9.504266,5.9122934
10.934554,1.6436697,3.358865
-1.6352804,5.187912,1.563098
9.614626,9.366991,6.529089
10.168438,8.231776,6.724203
11.095035,0.2654531,7.3872056
9.435926,-1.2766039,6.3015795
11.594772,1.0007342,8.22768
11.030918,0.60260653,8.318438
10.887421,8.956139,5.269995
10.452904,8.051816,6.569867
3.0503511,4.229754,9.322014
9.578368,-1.1314051,6.069159
11.757931,0.93567276,7.3019996
11.0848,2.4999685,3.1241114
11.797272,7.086352,5.5825415
1.002185,5.96266,8.223921
10.781108,-0.14349319,6.203555
-1.219741,5.702572,0.07183244
11.280143,0.6955093,8.2651205
10.8993435,1.038705,3.6941452
2.495346,5.515156,9.14076
11.265795,0.42633352,7.470411
-1.8071089,7.1357446,4.3746057
-0.17039981,1.7830155,4.273134
11.136323,2.1046536,3.31125
2.1758728,8.75596,8.281495
12.551237,4.530313,3.7558448
13.09858,3.46048,4.539704
-1.1954949,5.427377,0.089297175
13.407333,4.480407,4.6253023
0.97647184,1.3332118,6.0727677
1.3760917,2.937616,7.9574575
-0.7947124,9.749437,5.7990036
11.283669,8.389001,4.4668646
-1.4919169,5.5868855,0.45662695
10.17275,9.225589,6.073103
-0.59378386,5.996781,6.873661
-0.8246526,6.1805463,6.618524
9.205484,9.589811,6.7382865
9.237417,9.517779,6.7381387
11.209273,8.241641,5.662168
0.56195426,2.2411447,6.4808164
8.631022,8.37864,7.385878
2.2926388,5.2871523,9.033839
9.16166,-1.3524446,5.9060416
-1.3414305,4.254296,4.8253446
2.8764555,4.240913,9.283721
-1.5699162,6.4504747,0.5944284
-1.6741799,5.1644077,4.144871
12.981753,3.5974722,4.328014
0.6188474,1.1340405,4.9887133
-1.2550806,7.8680615,6.1709847
9.499086,-1.2222228,6.3593473
9.63702,-0.92031586,5.0873218
13.277603,3.8096805,4.5894804
10.806518,-0.032040425,7.100694
1.104237,3.1736648,7.779472
0.16758463,5.38646,7.572244
-0.11681557,5.0745516,7.3223615
13.3281765,4.8173547,4.6621647
12.236947,4.344546,3.5142558
12.465507,5.838461,4.504724
11.81934,6.6296096,3.8855422
5.859297,7.430698,8.580107
5.991124,7.5220165,8.506621
-1.3760334,6.61909,0.35795525
-1.3363947,6.5674715,0.29324895
-1.3377758,9.211545,4.983668
11.833678,0.99115044,7.566227
10.912165,0.42492393,8.16748
9.2136755,-1.2977608,5.7188783
10.769012,-0.14689092,6.4273477
11.051616,8.82478,4.8836775
9.842004,11.254106,5.877189
13.443755,4.390556,4.713985
-0.78788763,6.544794,6.711959
11.546906,7.804481,5.323995
-1.6915318,7.5157714,1.9628639
-1.1183023,8.683988,6.11611
-1.5691247,7.1557474,1.0429024
10.741719,-0.17660901,6.290041
-1.6400524,7.976026,2.3385756
11.634693,0.86280376,7.758392
13.288095,3.7293258,4.663257
0.4395056,4.2042713,7.5975394
-0.8785565,7.872094,6.6315174
9.13243,8.539344,7.165222
9.111627,8.620862,7.1314545
1.1832198,7.0465713,8.225339
13.346461,4.085924,4.5355797
-1.4573306,5.1202607,0.7123628
13.4095955,4.529236,4.7865515
-1.677849,7.634056,4.9532976
13.233947,4.8735,4.587007
7.1573005,8.109182,7.9338884
11.309512,0.42572132,7.0776587
11.901965,6.2501464,3.7556832
-1.4047025,4.5340195,4.6547813
12.404183,4.468564,3.622882
12.167818,1.8623862,7.8126554
10.421606,8.869513,6.0235543
12.402261,4.6616344,3.6584215
-1.7994412,7.138846,4.424545
11.26099,0.59946233,4.465678
12.231644,6.3297143,4.744669
2.1485105,8.682086,8.318939
11.169886,8.633698,4.7319417
10.503208,10.155611,5.222074
11.005756,1.0877405,3.741154
10.006006,11.056314,5.7218356
10.440534,8.830763,6.029967
10.4833765,10.156879,5.256382
0.19692802,4.275821,7.365573
11.228355,8.237953,5.620026
10.952404,8.898443,5.1933665
